AreaCode,Year,mean_salary,population_size,AveragePrice,SalesVolume
E09000001,1999,48922.0,6581.0,171300.06187499998,44.666666666666664
E09000001,2000,52203.0,7014.0,218679.02554166666,35.666666666666664
E09000001,2001,62819.0,7359.0,250625.55444166667,30.583333333333332
E09000001,2002,56450.0,7280.0,269632.2432833333,32.666666666666664
E09000001,2003,64272.0,7115.0,270811.45089166664,40.0
E09000001,2004,66628.0,7118.0,301032.8835083333,31.416666666666668
E09000001,2005,74004.0,7131.0,311783.67059166665,25.25
E09000001,2006,85886.0,7254.0,338518.7243083333,24.5
E09000001,2007,86778.0,7607.0,433838.4742166667,22.5
E09000001,2008,82973.0,7429.0,427296.76296666666,11.666666666666666
E09000001,2009,80769.0,7472.0,383417.891175,13.083333333333334
E09000001,2010,81938.0,7338.0,453662.69925,19.666666666666668
E09000001,2011,90842.0,7412.0,463930.7757666667,21.25
E09000001,2012,86987.0,7604.0,525327.5512583334,16.416666666666668
E09000001,2013,83403.0,7648.0,570008.7143916666,36.083333333333336
E09000001,2014,82808.0,8072.0,709385.4872750001,26.916666666666668
E09000001,2015,77754.0,8760.0,760253.0192333333,25.666666666666668
E09000001,2016,79489.0,9401.0,818315.5511416667,14.333333333333334
E09000001,2017,80655.0,7654.0,849790.0961333333,18.25
E09000001,2018,90028.0,8706.0,784957.5276500001,32.583333333333336
E09000002,1999,23620.0,162444.0,65320.934440833335,223.83333333333334
E09000002,2000,24696.0,163893.0,77549.51329,234.41666666666666
E09000002,2001,26050.0,165654.0,88664.05822333333,266.9166666666667
E09000002,2002,26653.0,166357.0,112221.91248166666,287.4166666666667
E09000002,2003,27792.0,166210.0,142498.9278,301.25
E09000002,2004,29088.0,165610.0,158175.98248333333,301.3333333333333
E09000002,2005,28728.0,166275.0,163360.78201666666,240.83333333333334
E09000002,2006,28660.0,167157.0,167853.34255833333,304.5
E09000002,2007,31994.0,169031.0,184909.80738333333,332.0833333333333
E09000002,2008,31795.0,172452.0,187356.8657833333,140.66666666666666
E09000002,2009,33126.0,177580.0,156446.89635833332,105.16666666666667
E09000002,2010,32996.0,182838.0,166560.705275,121.08333333333333
E09000002,2011,33568.0,187029.0,163465.144225,121.5
E09000002,2012,37059.0,190560.0,165863.9116,111.83333333333333
E09000002,2013,37214.0,194352.0,173733.62493333334,149.0
E09000002,2014,36323.0,198294.0,201172.22941666667,188.25
E09000002,2015,36705.0,201979.0,233460.10742500002,200.41666666666666
E09000002,2016,37959.0,206460.0,273919.6360416667,183.58333333333334
E09000002,2017,32093.0,210711.0,287734.71735833335,172.5
E09000002,2018,32671.0,211998.0,295185.125625,161.33333333333334
E09000003,1999,23128.0,313469.0,136004.51206666665,623.9166666666666
E09000003,2000,25755.0,315784.0,167952.63395833332,543.75
E09000003,2001,26068.0,319481.0,185563.35259999998,566.9166666666666
E09000003,2002,30210.0,320552.0,220746.059225,609.5833333333334
E09000003,2003,30518.0,321802.0,251212.9276833333,517.3333333333334
E09000003,2004,30795.0,323723.0,271854.11299166665,557.5833333333334
E09000003,2005,31652.0,327541.0,279459.6696833333,448.3333333333333
E09000003,2006,30923.0,330801.0,291337.79620833334,562.6666666666666
E09000003,2007,33007.0,334837.0,326915.49851666664,571.75
E09000003,2008,34468.0,339212.0,330023.3133916667,286.5
E09000003,2009,35013.0,345829.0,299103.01481666666,264.1666666666667
E09000003,2010,34077.0,351438.0,333128.0967,345.25
E09000003,2011,33062.0,357538.0,338978.01252499997,325.6666666666667
E09000003,2012,33044.0,363956.0,358627.34625,337.9166666666667
E09000003,2013,33766.0,369088.0,374770.610075,397.5833333333333
E09000003,2014,34936.0,374915.0,430363.35122500005,421.5
E09000003,2015,34730.0,379691.0,478687.949875,427.0833333333333
E09000003,2016,35315.0,386083.0,525939.5773,424.9166666666667
E09000003,2017,36818.0,387803.0,538281.0170083334,335.6666666666667
E09000003,2018,36776.0,392140.0,533216.0925,326.3333333333333
E09000004,1999,21386.0,217458.0,86777.71590333333,421.6666666666667
E09000004,2000,22580.0,218717.0,103186.66518416668,364.0833333333333
E09000004,2001,23559.0,218757.0,116527.13475000001,439.1666666666667
E09000004,2002,23517.0,219123.0,136797.96447500002,478.1666666666667
E09000004,2003,24723.0,220016.0,164482.03890833334,432.8333333333333
E09000004,2004,24617.0,220917.0,179141.16825833335,422.1666666666667
E09000004,2005,28162.0,222391.0,186512.18626666666,337.9166666666667
E09000004,2006,28847.0,223280.0,191831.0568916667,416.5
E09000004,2007,30375.0,224625.0,208085.87344166668,417.0
E09000004,2008,31305.0,226652.0,210199.18369166667,207.25
